gameMode,win,ally0_kills,ally0_assists,ally0_death,ally0_role,ally0_champion,ally0_vision_score,ally0_total_damage,ally0_item0,ally0_item2,ally0_item1,ally0_item3,ally0_item4,ally0_item5,ally0_item6,ally0_minions,ally1_kills,ally1_assists,ally1_death,ally1_role,ally1_champion,ally1_vision_score,ally1_total_damage,ally1_item0,ally1_item2,ally1_item1,ally1_item3,ally1_item4,ally1_item5,ally1_item6,ally1_minions,ally2_kills,ally2_assists,ally2_death,ally2_role,ally2_champion,ally2_vision_score,ally2_total_damage,ally2_item0,ally2_item2,ally2_item1,ally2_item3,ally2_item4,ally2_item5,ally2_item6,ally2_minions,ally3_kills,ally3_assists,ally3_death,ally3_role,ally3_champion,ally3_vision_score,ally3_total_damage,ally3_item0,ally3_item2,ally3_item1,ally3_item3,ally3_item4,ally3_item5,ally3_item6,ally3_minions,me_kills,me_assists,me_death,me_role,me_champion,me_vision_score,me_total_damage,me_item0,me_item2,me_item1,me_item3,me_item4,me_item5,me_item6,me_minions,enemy4_kills,enemy4_assists,enemy4_death,enemy4_role,enemy4_champion,enemy4_vision_score,enemy4_total_damage,enemy4_item0,enemy4_item2,enemy4_item1,enemy4_item3,enemy4_item4,enemy4_item5,enemy4_item6,enemy4_minions,enemy0_kills,enemy0_assists,enemy0_death,enemy0_role,enemy0_champion,enemy0_vision_score,enemy0_total_damage,enemy0_item0,enemy0_item2,enemy0_item1,enemy0_item3,enemy0_item4,enemy0_item5,enemy0_item6,enemy0_minions,enemy1_kills,enemy1_assists,enemy1_death,enemy1_role,enemy1_champion,enemy1_vision_score,enemy1_total_damage,enemy1_item0,enemy1_item2,enemy1_item1,enemy1_item3,enemy1_item4,enemy1_item5,enemy1_item6,enemy1_minions,enemy2_kills,enemy2_assists,enemy2_death,enemy2_role,enemy2_champion,enemy2_vision_score,enemy2_total_damage,enemy2_item0,enemy2_item2,enemy2_item1,enemy2_item3,enemy2_item4,enemy2_item5,enemy2_item6,enemy2_minions,enemy3_kills,enemy3_assists,enemy3_death,enemy3_role,enemy3_champion,enemy3_vision_score,enemy3_total_damage,enemy3_item0,enemy3_item2,enemy3_item1,enemy3_item3,enemy3_item4,enemy3_item5,enemy3_item6,enemy3_minions
ARAM,True,14,23,14,DUO,68,0,138146,4636,4637,3020,3089,4629,3102,2052,109,3,20,8,SUPPORT,32,0,37355,6665,3068,3111,3075,4401,1057,2052,33,24,17,16,SUPPORT,11,0,90465,6691,6676,3006,3153,6672,3091,2052,34,9,22,11,SUPPORT,1,0,91821,6655,3102,3089,3020,4645,3135,0,52,15,24,7,SUPPORT,43,0,174354,6655,4645,3102,3089,4628,4629,2052,108,5,10,11,SUPPORT,41,0,81927,3508,6676,6691,3036,6673,0,2052,64,11,26,16,SUPPORT,96,0,144953,3153,3124,3006,6672,3091,6673,2052,83,11,18,17,SUPPORT,518,0,83553,3040,6655,3157,3158,4645,1058,2052,49,9,36,10,SUPPORT,74,0,165668,6653,3020,4645,3135,3089,3165,0,112,20,17,11,SUPPORT,105,0,90817,3152,3100,3157,3135,3020,3165,2052,58
ARAM,False,9,24,9,SUPPORT,103,0,66001,6655,4645,3020,3102,4630,1026,2052,29,11,23,17,SUPPORT,11,0,61925,3124,3006,3153,6672,0,0,2052,34,3,20,10,SUPPORT,887,0,33635,2051,3047,3113,4633,3115,3108,2052,22,12,15,12,SUPPORT,41,0,51652,3508,3158,6691,3071,3134,3133,2052,36,13,20,7,SUPPORT,51,0,83548,6691,6696,3006,6676,3036,0,2052,63,2,47,9,SUPPORT,497,0,26732,3121,6667,3111,3083,3076,0,2052,11,13,35,9,SUPPORT,61,0,58003,6655,4645,3020,3089,4630,1026,2052,23,14,20,8,SUPPORT,35,0,61717,6653,4637,3020,4645,1058,0,2052,31,13,35,13,DUO,59,0,69529,6630,3091,3047,3153,3133,1031,2052,65,13,16,9,SUPPORT,141,0,64289,3177,6691,1031,3158,6696,3161,2052,57
ARAM,False,15,16,9,SUPPORT,126,0,55040,3042,3111,6692,6694,3133,1036,2052,29,11,23,11,SUPPORT,104,0,50301,6692,6676,3006,3036,1053,1038,0,32,4,22,7,DUO,51,0,63632,6691,3006,6672,3094,1036,1018,2052,63,6,18,9,SUPPORT,22,2,36954,6672,3085,3006,3031,0,0,2052,34,5,21,5,SUPPORT,78,0,27396,2051,6665,3070,3111,4401,1029,0,19,12,13,8,SUPPORT,101,0,48574,6655,4645,3020,1058,0,0,0,18,4,26,10,SUPPORT,12,0,30614,6665,3068,3047,3075,3082,3082,0,27,12,12,8,SUPPORT,39,0,46336,3153,3074,3047,6665,0,0,2052,55,4,12,9,SUPPORT,82,0,26570,3075,4637,3047,0,0,4633,2052,16,9,19,6,DUO,498,0,70094,6672,2031,3006,3072,6675,0,0,65
ARAM,False,12,27,13,SUPPORT,53,0,54395,6655,3089,3158,1052,1058,3157,0,33,23,22,16,SUPPORT,11,0,101955,3006,3153,3124,6333,3074,6672,0,57,5,36,12,SUPPORT,79,0,47958,6655,4629,3158,3089,3191,1033,2052,21,15,28,11,DUO,18,0,106200,6675,3006,3087,3036,3094,1053,0,81,15,28,6,SUPPORT,101,0,73664,6653,4628,3020,4645,3089,1052,0,43,11,27,11,SOLO,31,0,33766,6665,3111,2031,3083,3075,1057,2052,15,8,30,18,DUO,30,0,96929,3116,4637,6653,3165,4630,1001,2052,91,14,26,14,SUPPORT,96,0,85062,3006,3085,3124,3091,3153,1043,0,52,21,15,12,SUPPORT,360,0,90795,3111,6673,3031,3072,6676,3036,0,66,4,21,15,SUPPORT,121,0,34871,3042,6691,3158,6676,3133,0,0,17
ARAM,True,18,19,5,SUPPORT,35,0,34241,6653,4637,3158,3165,3089,0,2052,17,7,41,6,SUPPORT,161,0,76329,3112,6655,3070,3020,4645,1052,0,54,16,25,13,SUPPORT,14,0,92717,3084,3068,3047,3083,3075,1028,2052,74,3,30,11,SUPPORT,17,0,34940,6653,4637,3020,3165,0,0,2052,22,16,20,8,SUPPORT,254,0,57507,6691,6676,3006,6693,3508,0,2052,49,20,13,11,SUPPORT,55,0,62476,4633,3157,3115,3111,3102,3145,2052,22,3,30,14,SUPPORT,412,0,25564,6665,3111,2031,4401,3083,0,2052,10,5,21,10,DUO,203,0,84798,3031,3072,3006,6672,0,0,2052,74,5,26,8,SUPPORT,15,0,75697,6672,3006,6675,3072,1018,0,0,68,10,15,17,SUPPORT,200,0,36867,3124,6672,3047,3072,1033,1043,0,23
ARAM,True,17,33,12,DUO,110,0,139823,3124,3006,3085,3091,3153,3115,0,117,15,32,18,SUPPORT,17,0,88900,6653,3115,3111,3165,4637,3089,2052,36,31,23,14,DUO,85,0,153340,3165,3135,4636,3089,4629,3157,2052,89,7,39,19,SUPPORT,26,0,68486,3157,4628,3020,3089,6655,3108,2052,35,11,39,8,CARRY,115,0,168904,6653,3102,3020,4637,3135,4645,2052,108,13,9,13,SUPPORT,13,0,131236,6655,4645,3040,3089,4629,3020,0,92,21,21,14,SUPPORT,7,0,102196,3157,6655,3020,3135,4645,3089,2052,72,14,31,16,SUPPORT,143,0,163279,6655,3116,3020,3089,4637,3165,2052,110,13,21,20,SUPPORT,114,0,89378,6632,3111,3156,6333,3161,3074,2052,60,10,30,18,SOLO,98,0,56965,3111,3083,3748,3084,3065,4401,2052,34
ARAM,True,11,24,3,SUPPORT,43,0,37646,3040,3020,2031,6653,4645,0,2052,19,24,11,4,SUPPORT,202,0,84180,3095,3009,6676,3031,6696,1036,2052,59,4,36,4,SUPPORT,37,0,16653,6617,3158,3040,3107,0,0,2052,10,4,26,6,SUPPORT,22,2,57765,3070,3086,3153,3006,3124,1043,2052,59,6,23,6,SUPPORT,136,0,63947,6653,3116,3020,3003,1028,0,0,56,4,7,10,SUPPORT,55,0,18478,6632,3145,3115,1058,0,3020,2052,10,4,9,7,DUO,29,0,52566,3124,3006,6672,1036,3085,0,2052,76,6,7,14,SUPPORT,63,0,48757,1058,4637,6653,3020,1058,0,2052,45,2,13,11,SUPPORT,15,0,61074,3087,3006,6675,6672,1036,0,2052,61,7,10,7,SUPPORT,99,0,34442,6655,4645,3020,3089,1052,0,2052,17
ARAM,False,5,16,7,SUPPORT,518,0,47341,6655,4645,3020,4630,1026,0,2052,38,7,13,9,SUPPORT,91,0,34102,6691,6696,3158,6693,0,0,0,20,3,16,10,SUPPORT,77,0,29648,6665,3111,3070,4637,6660,0,0,20,14,6,9,SUPPORT,360,0,33840,6691,6676,3111,1037,1053,0,0,30,2,18,6,SUPPORT,83,0,43253,3070,6694,6691,3158,1036,1036,2052,41,12,15,6,SUPPORT,122,0,40047,6631,3742,6333,3111,0,0,2052,36,7,20,7,SUPPORT,41,0,83066,3508,6675,3158,3134,1018,0,2052,55,3,24,2,SUPPORT,103,0,53704,3020,2420,2031,6655,3089,0,2052,39,12,16,8,SUPPORT,31,0,55924,3084,3083,3047,4401,6660,1029,2052,38,7,15,8,SUPPORT,54,0,28304,6655,4645,3020,4630,1026,0,2052,13
ARAM,True,10,19,10,SUPPORT,112,0,45505,6655,4645,3020,3089,1052,1029,0,36,7,22,11,SUPPORT,30,0,54006,3020,6655,4645,3089,4630,0,2052,31,8,22,8,DUO,22,0,62550,3070,6672,3153,3006,3124,1043,0,74,15,22,11,SUPPORT,81,0,48746,3508,3158,3042,6691,3074,0,2052,22,9,12,9,SUPPORT,54,0,45671,4636,4628,3020,4645,3108,0,0,40,13,7,11,SUPPORT,84,0,30584,3157,4645,3152,0,0,3020,0,14,14,9,6,SUPPORT,21,0,77482,6691,6672,6696,3035,3133,3006,0,75,3,17,10,SUPPORT,143,0,25458,6653,3116,3020,1011,1026,1052,0,22,11,13,10,SUPPORT,222,0,43732,6691,6696,3006,3153,1036,0,0,34,8,25,12,SUPPORT,29,0,53085,3006,3085,3153,3031,1043,1018,2052,32
ARAM,True,4,29,3,SUPPORT,45,0,39288,6655,2031,3070,3020,3145,1058,2052,36,18,14,11,SUPPORT,254,0,34995,6691,6676,3111,3508,1036,0,2052,13,19,21,9,SUPPORT,55,0,46288,6632,3153,3111,3133,1031,1037,2052,19,4,21,5,SUPPORT,711,0,24686,6653,4645,3020,0,0,0,2052,26,7,23,2,SUPPORT,54,0,24523,3084,3068,3111,3076,0,0,2052,26,7,9,11,SUPPORT,84,0,23340,3152,1058,4645,0,0,3020,2052,12,3,11,10,SUPPORT,57,0,17551,3020,1058,6653,1058,0,0,2052,8,12,8,9,SUPPORT,76,0,25345,6655,4645,3020,1058,1058,0,2052,12,5,6,10,SUPPORT,58,0,10714,6630,3071,1001,0,0,0,2052,11,3,12,12,DUO,119,0,28166,6691,6676,3006,1018,0,0,2052,29
ARAM,True,8,23,9,DUO,22,0,84521,3124,3006,6672,3036,3153,1033,0,79,16,20,11,SUPPORT,103,0,78999,3040,6653,3112,3020,4637,3100,0,52,1,43,8,NONE,902,0,16710,3107,3158,3040,6616,6617,3916,2052,14,20,23,12,SOLO,86,0,85592,6631,3742,3111,3071,3156,3075,2052,37,10,24,9,SUPPORT,17,0,66048,6653,3115,3157,4637,3020,0,2052,46,4,26,10,SOLO,79,0,50734,4636,4629,3157,1028,3020,1052,2052,26,12,19,13,SUPPORT,136,0,90057,6653,3040,3020,3116,4637,1058,2052,87,15,11,13,SUPPORT,121,0,70454,3158,3177,3042,6691,6676,6694,2052,46,9,26,9,SUPPORT,51,0,124991,6691,3042,6696,6694,3134,3158,2052,91,9,18,10,SUPPORT,82,0,57938,4633,3065,3111,3075,3083,6660,0,46
ARAM,False,16,36,12,CARRY,161,0,166175,6653,3135,4628,3020,4645,3089,2052,95,9,29,22,SUPPORT,266,0,79712,3111,6694,6691,3071,6333,3156,2052,37,13,26,17,DUO,127,0,113679,3157,4645,3020,3089,4637,6655,2052,65,24,31,18,SUPPORT,64,0,141837,6691,6693,3158,6676,3814,3074,2052,66,15,43,15,DUO,14,0,121716,3084,4401,3083,3065,3075,3068,2052,86,25,26,15,DUO,157,0,256039,6673,3031,6672,3072,6333,3153,0,151,19,40,19,SOLO,136,0,205258,6653,4637,3158,3135,3089,3116,2052,119,10,41,13,DUO,518,0,130072,6653,3020,3157,4645,3165,3089,2052,63,15,32,16,SUPPORT,420,0,102403,6632,6333,3133,3065,3075,3053,2052,40,15,34,15,SOLO,76,0,61988,4636,3089,3040,3135,4645,3020,2052,18
ARAM,True,1,35,9,SUPPORT,22,0,60823,3042,4005,3158,6691,3133,3035,2052,34,18,13,8,SOLO,555,0,35067,6691,6696,3158,6693,3133,1031,2052,9,10,26,9,SUPPORT,45,0,96402,6655,3102,3040,3020,4645,1058,0,73,13,12,18,SUPPORT,91,0,62716,6691,6676,3158,6696,6694,3134,0,44,12,20,6,DUO,82,0,90358,6665,3047,1011,3116,3075,3110,0,94,14,17,8,DUO,236,0,85198,3070,3085,3031,6672,3153,3133,0,79,2,27,16,SUPPORT,1,0,33713,2420,4645,6655,3135,3020,1052,2052,15,3,36,9,SUPPORT,117,0,20985,6617,3107,3040,3504,3158,3076,2052,9,14,14,15,SOLO,360,0,63300,6691,3153,3156,3051,6676,3111,2052,43,17,23,6,DUO,99,0,114520,3112,6655,3040,3020,4645,3089,2052,86
ARAM,True,12,47,16,DUO,25,0,104635,6653,3116,3157,3020,4637,3089,2052,68,25,11,15,DUO,91,0,100363,6691,6676,3156,6693,3814,6694,2052,66,12,36,16,SUPPORT,45,0,108789,6655,3135,3040,3020,4645,1058,0,55,13,31,16,DUO,19,0,98050,3153,6665,3111,6333,3748,3076,2052,48,11,36,9,DUO,154,0,82646,3066,3111,6665,3075,3065,1057,0,50,20,22,15,DUO,238,0,88884,6691,3158,3071,6696,6694,3814,2052,43,12,37,11,DUO,96,0,105647,4633,3115,3020,4645,3089,4629,2052,65,17,23,14,SUPPORT,76,0,77899,6655,4628,3020,3135,4645,3089,2052,25,3,39,16,DUO,22,3,118540,6672,3078,3006,3153,3036,3051,2052,109,20,23,17,SUPPORT,80,0,84954,6691,6676,6694,3156,3161,3075,2052,50
ARAM,True,14,16,8,SUPPORT,876,0,53168,6653,3116,4637,3020,3157,0,2052,53,14,16,8,SUPPORT,18,0,66501,3031,6672,3006,3094,1018,3035,2052,59,4,22,13,SUPPORT,15,0,52195,3087,3072,6675,1018,0,0,0,53,5,33,8,SUPPORT,4,0,70799,6655,3100,3115,1058,0,0,2052,42,9,19,6,SUPPORT,223,0,27412,3084,3068,3111,3075,1033,1028,2052,23,9,19,7,SUPPORT,96,0,78740,3006,3085,3124,3153,1043,1018,2052,68,9,21,14,SUPPORT,32,0,39927,6665,3065,3075,4401,0,0,2052,10,9,18,14,SUPPORT,21,0,66350,3031,3153,3036,1053,0,0,2052,55,4,26,3,SUPPORT,76,0,34895,6653,1052,4637,0,0,0,2052,15,12,12,8,SUPPORT,23,0,59984,3087,6672,3091,3006,3086,3051,2052,56
ARAM,False,13,7,11,SUPPORT,555,0,19519,3158,6691,6696,6676,0,0,2052,7,11,12,7,DUO,29,0,45652,6670,3006,3124,3085,1053,1043,0,44,2,13,5,SUPPORT,238,0,23870,3156,3814,6695,0,0,0,0,28,3,9,5,SUPPORT,13,0,24976,6657,3113,3070,3020,1028,3108,2052,15,3,15,9,SUPPORT,75,0,28807,6632,3111,4401,0,0,0,0,28,8,18,8,SUPPORT,64,0,28680,6692,6676,3047,3133,3067,1036,2052,17,18,10,7,SUPPORT,166,0,49591,6672,3006,3124,3153,3086,0,2052,42,4,26,4,SUPPORT,115,0,44303,6655,4645,3020,1058,0,0,2052,29,3,19,9,SUPPORT,89,0,13480,2051,6665,3111,3068,0,0,2052,6,4,21,4,SUPPORT,143,0,44008,6653,3116,3020,1052,1011,1026,0,46
ARAM,True,23,20,8,DUO,236,0,88279,6672,3111,6675,3036,3153,3086,2052,77,6,34,7,SOLO,427,0,36447,6653,3116,3089,1052,0,0,2052,16,13,31,9,SUPPORT,33,0,65879,3075,8020,3068,3111,3084,0,2052,45,5,48,2,NONE,99,0,74993,6655,4645,3020,3135,3108,3145,0,50,11,28,6,SUPPORT,3,0,61158,6655,4645,3111,4637,1057,0,2052,40,8,12,9,SUPPORT,235,0,58411,6692,6676,3006,3153,6670,1043,0,38,4,16,9,SUPPORT,26,0,79916,6655,4628,3157,3158,0,0,0,62,13,10,12,SUPPORT,82,0,74696,6665,3111,4637,3065,3075,1026,0,44,3,7,14,SOLO,121,0,26837,3042,6676,6691,3158,1036,1036,2052,9,4,16,14,SUPPORT,32,0,43593,6665,3111,3145,3068,3075,1033,0,36
ARAM,True,16,12,8,SUPPORT,20,0,45632,4636,4645,3020,1058,1058,0,0,31,2,13,6,SUPPORT,26,0,23097,6655,4629,3158,0,0,0,2052,24,6,15,3,SUPPORT,110,0,39899,3177,6691,3070,3006,3085,1043,0,39,9,14,4,SUPPORT,126,0,30646,6691,6676,3158,3070,3133,0,2052,28,2,16,3,SUPPORT,427,0,12790,6653,1011,3020,1026,1052,0,2052,8,3,9,5,SUPPORT,145,0,14342,3006,3070,6655,1026,1042,3108,2052,4,3,12,7,SUPPORT,888,0,7970,2065,3070,0,6696,3158,0,2052,6,8,12,5,SUPPORT,99,0,23497,6655,1058,3020,1058,0,0,0,17,4,6,9,SUPPORT,1,0,27211,6653,3003,3020,1052,0,0,2052,28,6,8,9,DUO,29,0,30893,6672,3085,3006,1053,1038,0,2052,35
ARAM,True,5,17,3,SUPPORT,142,0,28000,6655,4645,3020,0,0,0,2052,19,3,13,2,SUPPORT,117,0,14566,6657,3067,3020,3070,0,0,0,17,5,10,2,SUPPORT,246,0,17361,3177,6691,3070,3111,3134,0,2052,22,7,11,2,SUPPORT,26,0,37323,6655,1028,3020,3070,0,0,2052,34,5,9,3,SUPPORT,27,0,14969,6665,3070,3047,1026,1052,0,2052,9,1,6,4,SUPPORT,166,0,17560,6672,1042,3006,1052,1042,0,0,28,5,3,5,SUPPORT,777,0,27275,3006,3031,3087,1036,0,0,0,25,3,6,2,SUPPORT,145,0,23815,2031,6655,3070,3145,0,0,2052,32,2,5,8,SUPPORT,221,0,15558,3087,2003,3006,1018,0,0,0,9,1,7,6,SUPPORT,412,0,8831,2051,6665,3070,1001,0,0,2052,12
ARAM,False,3,27,5,SUPPORT,350,0,23600,1052,1052,1052,1052,1052,1052,2052,4,7,10,9,SUPPORT,2,0,15286,6630,3065,3047,1053,1043,0,2052,10,9,15,9,DUO,498,0,71761,6672,3006,6675,3046,1042,0,2052,74,10,13,12,SUPPORT,121,0,20199,3042,6694,6691,3158,3134,0,2052,9,5,22,6,SUPPORT,432,0,35418,3087,3020,4636,3094,0,0,2052,32,8,21,5,SUPPORT,202,0,43213,6691,6696,3009,6676,0,0,2052,37,5,26,5,SUPPORT,147,0,45785,6655,3116,3020,1058,0,0,2052,27,20,16,6,SUPPORT,429,2,66148,3006,3153,3124,6673,3035,1018,2052,53,5,14,9,SUPPORT,19,0,29567,3076,1028,1033,3047,3153,3084,2052,39,3,19,9,SUPPORT,27,0,30322,6657,3111,3116,4637,0,0,2052,23
ARAM,True,8,23,10,SUPPORT,221,0,93950,3006,6675,3087,6673,1036,1036,0,94,14,18,11,CARRY,114,0,40339,6632,6333,3047,3053,3133,1037,2052,19,5,40,3,SUPPORT,350,0,25491,6617,6616,3222,3040,3916,3107,2052,1,9,30,11,DUO,15,0,153167,6675,3087,3006,3072,3036,1036,2052,129,12,23,6,SUPPORT,25,0,67679,6653,4637,2421,3116,3020,3191,0,33,7,29,7,SUPPORT,99,0,88669,3112,6655,3040,3089,4628,0,2052,58,15,17,12,SOLO,31,0,54110,3084,3083,3047,3075,4401,3105,2052,24,10,20,11,DUO,21,0,124657,6672,3031,3006,3087,3036,1038,2052,119,5,23,11,SUPPORT,238,0,68133,3074,3158,3067,6691,6694,3133,0,42,4,21,7,SUPPORT,498,0,42852,3184,6675,3006,6672,1053,1038,2052,45
ARAM,False,5,30,12,SOLO,113,0,37628,6665,3083,3047,3075,3082,1027,2052,20,20,16,15,SUPPORT,131,0,77536,3157,3115,3152,4645,4401,3020,2052,38,20,24,19,SUPPORT,64,0,83954,6691,6693,3158,6696,6676,3814,2052,25,11,35,15,DUO,222,0,133435,6672,3085,3031,3072,3156,0,2052,105,11,24,7,SUPPORT,102,0,117703,4636,3020,4628,4645,1058,1058,0,81,24,28,12,DUO,236,0,135756,6671,6672,3111,3072,3036,3153,2052,106,2,52,12,SUPPORT,37,0,36706,6617,3158,3107,6616,3040,3011,2052,25,25,19,13,SOLO,103,0,117670,6655,4628,3157,3135,3089,3020,2052,65,5,31,19,SUPPORT,518,0,66020,6655,3157,3020,4645,4630,1026,2052,32,12,26,11,SUPPORT,54,0,68219,4636,3089,3157,3020,4645,1052,2052,33
ARAM,False,11,18,8,SOLO,45,0,91471,6657,3040,3135,3020,3089,0,0,93,1,27,13,SUPPORT,12,0,29824,2051,6667,3121,3111,3075,0,2052,7,12,22,9,DUO,103,0,89295,3191,3135,6656,3020,3165,4645,0,49,9,9,11,NONE,29,0,34684,6672,3085,2003,3006,3153,3035,2052,14,5,22,9,DUO,57,0,58625,6653,4637,3020,3165,4630,0,0,38,9,18,8,SUPPORT,236,0,62280,6672,3111,3508,6675,3035,1018,0,60,13,22,11,SUPPORT,120,0,85900,3042,3161,6691,3158,3065,1053,0,48,3,29,7,SUPPORT,111,0,23793,2051,6665,3121,3111,4401,0,0,9,6,36,8,CARRY,44,0,31574,6665,3067,3121,3047,3075,3211,0,20,19,26,4,DUO,136,0,119920,3116,2031,3040,6653,4637,2422,0,123
ARAM,True,10,30,20,SUPPORT,53,0,68871,6655,4645,3020,3089,4628,1026,2052,26,10,27,15,SOLO,7,0,91272,3087,3508,3095,3158,3094,3031,2052,53,16,28,13,SUPPORT,145,0,76159,6655,3087,3006,3115,6672,3036,2052,34,7,43,8,SUPPORT,57,0,71723,6665,3111,3801,3068,3065,3075,2052,38,34,21,11,DUO,950,0,112217,6691,6676,3071,6693,3814,6696,2052,76,9,30,12,CARRY,74,0,176018,3157,4637,3020,3089,6653,4645,2052,126,15,17,19,SUPPORT,24,0,89396,6632,3153,3111,3161,3091,6333,2052,37,18,14,20,CARRY,555,0,46004,6691,6676,6696,6693,3814,3158,2052,15,14,33,10,SUPPORT,76,0,85056,6655,4628,4645,3020,3089,0,2052,27,11,20,16,SUPPORT,84,0,103727,2421,3089,3020,4636,3100,4645,2052,40
CLASSIC,True,2,21,9,SOLO,16,25,299607,3083,3158,3087,6653,3165,3089,3340,297,13,36,9,NONE,154,65,344688,3065,3158,3143,3075,6667,3068,3340,64,22,15,10,SOLO,157,34,378944,3031,3006,6672,6673,6333,3026,3340,265,20,16,9,CARRY,163,26,346690,3020,3040,3157,6655,4645,3135,3364,264,8,24,17,SUPPORT,63,64,237508,6653,3020,3157,4637,3089,3116,3340,89,15,16,12,SUPPORT,99,109,302439,3165,3020,6655,4645,3089,4628,3340,139,8,11,10,SOLO,420,26,425172,6632,3047,3075,3065,3071,6333,3340,356,4,17,12,NONE,233,20,483117,3071,6630,3111,3053,6333,3153,3340,111,13,12,11,SOLO,45,40,556938,4645,6655,3089,3020,4628,3165,3340,342,14,12,20,CARRY,360,57,312638,6673,3111,6676,3031,3072,3036,3363,193
