gameMode,win,ally0_kills,ally0_assists,ally0_death,ally0_role,ally0_champion,ally0_vision_score,ally0_total_damage,ally0_item0,ally0_item2,ally0_item1,ally0_item3,ally0_item4,ally0_item5,ally0_item6,ally0_minions,ally1_kills,ally1_assists,ally1_death,ally1_role,ally1_champion,ally1_vision_score,ally1_total_damage,ally1_item0,ally1_item2,ally1_item1,ally1_item3,ally1_item4,ally1_item5,ally1_item6,ally1_minions,ally2_kills,ally2_assists,ally2_death,ally2_role,ally2_champion,ally2_vision_score,ally2_total_damage,ally2_item0,ally2_item2,ally2_item1,ally2_item3,ally2_item4,ally2_item5,ally2_item6,ally2_minions,ally3_kills,ally3_assists,ally3_death,ally3_role,ally3_champion,ally3_vision_score,ally3_total_damage,ally3_item0,ally3_item2,ally3_item1,ally3_item3,ally3_item4,ally3_item5,ally3_item6,ally3_minions,me_kills,me_assists,me_death,me_role,me_champion,me_vision_score,me_total_damage,me_item0,me_item2,me_item1,me_item3,me_item4,me_item5,me_item6,me_minions,enemy4_kills,enemy4_assists,enemy4_death,enemy4_role,enemy4_champion,enemy4_vision_score,enemy4_total_damage,enemy4_item0,enemy4_item2,enemy4_item1,enemy4_item3,enemy4_item4,enemy4_item5,enemy4_item6,enemy4_minions,enemy0_kills,enemy0_assists,enemy0_death,enemy0_role,enemy0_champion,enemy0_vision_score,enemy0_total_damage,enemy0_item0,enemy0_item2,enemy0_item1,enemy0_item3,enemy0_item4,enemy0_item5,enemy0_item6,enemy0_minions,enemy1_kills,enemy1_assists,enemy1_death,enemy1_role,enemy1_champion,enemy1_vision_score,enemy1_total_damage,enemy1_item0,enemy1_item2,enemy1_item1,enemy1_item3,enemy1_item4,enemy1_item5,enemy1_item6,enemy1_minions,enemy2_kills,enemy2_assists,enemy2_death,enemy2_role,enemy2_champion,enemy2_vision_score,enemy2_total_damage,enemy2_item0,enemy2_item2,enemy2_item1,enemy2_item3,enemy2_item4,enemy2_item5,enemy2_item6,enemy2_minions,enemy3_kills,enemy3_assists,enemy3_death,enemy3_role,enemy3_champion,enemy3_vision_score,enemy3_total_damage,enemy3_item0,enemy3_item2,enemy3_item1,enemy3_item3,enemy3_item4,enemy3_item5,enemy3_item6,enemy3_minions
ARAM,False,21,16,23,SOLO,517,0,64563,3158,4645,4636,3089,3135,3157,2052,21,7,25,15,SUPPORT,81,0,97915,3078,3158,3042,6694,6676,3074,2052,40,5,19,20,SUPPORT,221,0,124250,3094,6675,3087,3085,3036,1038,2052,87,26,25,14,SUPPORT,21,0,206606,6691,6696,6695,6676,3814,6694,2052,125,11,27,12,DUO,63,0,168580,6653,3145,3089,3020,3102,3165,2052,98,25,16,18,SUPPORT,105,0,92936,6655,3089,3157,4645,3135,3100,2052,43,22,32,15,SUPPORT,4,0,150336,6655,3094,3020,3100,3089,3135,2052,69,6,54,7,SUPPORT,16,0,45702,3083,6617,3121,3158,3065,4401,0,25,18,26,17,SUPPORT,103,0,104995,6655,3157,3020,3089,3102,3165,0,72,13,32,13,DUO,498,0,157962,6672,6675,3153,3072,3036,3046,2052,137
ARAM,False,1,11,6,SUPPORT,267,0,17002,6617,3158,3040,1004,0,0,2052,18,1,8,8,SUPPORT,22,1,20839,3153,2031,3006,1018,1043,0,2052,21,4,6,9,SUPPORT,236,0,22876,3508,6675,2422,1042,0,0,2052,31,1,7,9,SUPPORT,106,0,16939,3084,3068,2031,0,0,0,2052,18,10,4,8,SUPPORT,35,0,23817,6653,4645,3020,1011,1052,0,2052,11,15,21,5,SUPPORT,51,0,54221,6691,6676,3006,3134,3133,0,2052,24,4,25,2,SUPPORT,161,0,39080,6653,3145,3020,0,0,0,0,17,11,21,3,SUPPORT,64,0,30088,6630,3133,3111,1031,0,0,2052,29,4,14,4,SUPPORT,82,0,30265,4633,3065,1001,1042,0,0,2052,34,6,22,3,DUO,21,0,49475,6691,3134,3006,1037,0,0,2052,55
ARAM,False,3,26,12,SUPPORT,37,0,17043,6617,3158,3040,6616,3114,0,2052,12,7,13,15,SUPPORT,80,0,41905,6691,6333,3047,6676,1036,1036,2052,31,13,13,10,SUPPORT,28,0,39078,3020,2031,3152,3089,3135,4632,0,24,9,12,10,SUPPORT,8,0,46143,3157,3158,3152,4629,4630,0,2052,28,5,24,8,SUPPORT,888,0,40264,3040,3047,6653,3116,0,0,0,27,14,21,11,SUPPORT,55,0,63498,3115,4633,3020,4645,1058,0,2052,31,2,29,8,SUPPORT,89,0,19378,3105,3084,3083,3111,1029,1033,2052,10,16,19,8,SUPPORT,64,0,42168,6691,6676,3111,6696,3071,0,2052,28,9,39,5,SUPPORT,235,0,48909,3094,3006,3124,6672,3042,0,2052,35,14,27,6,DUO,498,0,81227,6675,6672,3006,3072,3035,1018,0,65
ARAM,False,7,9,10,SUPPORT,69,0,38514,3040,3116,6657,1058,1058,0,0,32,4,19,10,DUO,4,0,67484,3124,3115,3006,3094,0,1033,0,78,19,14,15,SUPPORT,80,0,51465,6692,6676,3111,3156,3071,3133,2052,13,8,14,12,SUPPORT,113,0,32981,3084,3083,3047,3075,3082,3024,2052,13,1,16,10,SUPPORT,420,0,64116,6665,3111,6672,3051,1033,0,0,46,7,28,12,SUPPORT,127,0,46201,6655,3191,4645,3020,3108,0,0,37,15,32,6,SUPPORT,235,0,38368,3042,6676,6692,3153,1042,0,2052,25,10,27,5,SUPPORT,60,0,55394,6655,3100,3020,4645,1026,0,2052,32,19,17,7,SUPPORT,45,0,89497,6655,3040,3089,3020,3108,3191,2052,60,6,35,10,SUPPORT,110,0,59834,3070,3006,3124,6694,3085,0,2052,33
ARAM,False,0,0,0,SUPPORT,30,0,0,0,0,0,0,0,0,2052,0,1,1,2,SUPPORT,51,0,4031,3086,2015,1001,0,0,0,0,7,1,2,1,SUPPORT,43,0,3655,0,0,2031,0,3802,1001,2052,2,1,2,1,SUPPORT,119,0,2716,3057,0,3134,0,0,0,2052,3,1,3,0,SUPPORT,876,0,2328,3802,0,1001,0,0,0,2052,1,1,3,1,SUPPORT,61,0,3095,3802,0,1001,0,0,0,2052,6,1,1,0,SUPPORT,34,0,2320,3802,0,1001,0,0,0,2052,3,1,3,1,SUPPORT,555,0,4010,3134,1036,1001,0,0,0,2052,4,0,3,0,SUPPORT,96,0,2984,1001,1036,1043,0,0,0,2052,7,1,1,2,SUPPORT,35,0,1317,3802,1001,1052,0,0,0,2052,0
ARAM,True,34,6,12,SUPPORT,80,0,70334,6691,6676,3047,6333,3153,3071,2052,16,3,43,3,SUPPORT,44,0,33408,6665,3068,3121,0,0,3047,2052,29,7,26,7,SUPPORT,81,0,62262,3177,3070,3158,6632,6694,1036,2052,38,6,34,4,SUPPORT,99,0,86030,3112,6655,3070,3020,4628,4630,0,73,7,30,7,SUPPORT,120,0,55284,6333,6632,3070,3047,3053,0,2052,49,5,19,12,SUPPORT,117,0,33953,6653,3087,3020,4645,0,0,2052,27,2,24,14,SUPPORT,240,0,33196,3084,3068,1028,3077,3111,1011,2052,16,7,14,9,SUPPORT,41,0,64675,3508,3158,6675,6676,1018,1036,2052,22,3,8,13,DUO,200,0,40170,3184,3158,3078,6673,1043,1018,2052,54,16,11,9,SUPPORT,222,0,55132,6696,3042,3158,6691,6676,1053,2052,30
ARAM,True,2,38,8,SUPPORT,16,0,25678,6617,3083,3040,3158,3011,0,0,16,19,26,15,NONE,85,0,88893,3089,3157,4629,6670,3158,3152,2052,47,6,21,21,SUPPORT,266,0,37611,6691,6333,3111,3153,1036,1028,2052,23,21,15,14,SOLO,39,0,100998,3153,6333,3111,6632,3156,3074,2052,74,18,22,9,CARRY,35,0,76652,6653,4645,3020,3089,4628,1052,2052,42,20,25,14,SUPPORT,238,0,84267,3074,3158,6694,6691,3071,3134,0,42,10,33,15,SUPPORT,360,0,69263,6691,3072,3111,6676,6673,0,2052,41,9,42,12,SUPPORT,45,0,112744,6655,3191,3040,3020,3089,4645,2052,81,10,32,10,SUPPORT,518,0,98972,6655,3089,3020,3135,4645,3108,2052,49,18,22,15,SOLO,555,0,38001,6691,3111,6693,3177,6676,6694,0,9
ARAM,True,3,29,12,SUPPORT,110,0,66568,3124,3006,3085,3091,1053,1043,0,44,11,23,14,SUPPORT,157,0,117952,3006,3031,6672,3072,6333,0,2052,83,14,24,11,DUO,18,0,108049,6672,6675,3006,3072,3036,0,2052,77,17,23,8,SUPPORT,86,0,75956,3084,3068,3111,3083,4401,3075,2052,45,7,36,6,SOLO,888,0,35745,3158,3107,2065,3040,3504,3916,2052,9,7,26,12,SUPPORT,887,0,78987,3157,4645,3047,3115,4633,0,2052,46,14,18,15,SUPPORT,254,0,71911,6691,3071,3047,6333,3053,3076,0,32,8,19,10,SUPPORT,555,0,27814,6696,6691,3158,6676,3814,0,2052,13,10,33,7,DUO,69,0,81855,3040,6657,2031,3116,4637,3135,2052,35,12,18,9,CARRY,81,0,135543,6675,3508,3042,3158,6694,3074,2052,105
ARAM,False,7,14,18,SUPPORT,523,0,95381,6672,3072,3085,3036,1001,0,2052,73,5,16,11,SUPPORT,119,0,62329,3057,3006,6676,3072,3094,0,0,41,8,14,14,SUPPORT,498,0,54729,6675,6676,3033,3006,3086,3051,0,35,13,14,8,SUPPORT,6,0,93877,3071,3748,3111,3084,3083,0,2052,70,7,11,12,SUPPORT,53,0,52961,6655,4628,3158,4645,4630,0,0,20,15,20,6,SOLO,99,0,50306,6655,3089,3020,4628,1058,0,2052,28,8,44,6,SUPPORT,902,0,48474,6653,3020,4645,3089,4005,1052,0,35,15,30,12,SUPPORT,36,0,89225,3084,3075,3111,3068,3065,1057,2052,69,7,33,8,SUPPORT,115,0,74441,6653,3020,1026,4637,3089,4630,0,51,18,24,9,SUPPORT,82,0,70247,3075,3047,6665,3116,4637,3191,0,35
ARAM,True,5,32,5,SUPPORT,16,0,23745,2051,6617,3083,3121,3158,0,2052,12,7,30,15,SUPPORT,53,0,43341,6655,3020,4645,3135,1058,0,2052,6,8,31,6,SOLO,113,0,67571,6665,3083,3067,3047,3068,3070,2052,28,19,15,8,DUO,222,0,106690,6691,3006,6672,3094,3036,3072,0,86,11,26,9,DUO,157,0,99816,3006,6675,3087,6673,3153,1031,2052,81,11,14,11,DUO,950,0,63142,6691,6693,3111,6694,3814,3067,2052,71,7,23,9,SUPPORT,64,0,66908,3177,6333,6630,3047,3156,3133,2052,56,9,26,14,SUPPORT,77,0,74340,4637,6665,3047,3089,3076,1028,2052,26,5,21,9,SUPPORT,117,0,23436,6670,3158,6617,1028,3089,3135,2052,17,11,24,7,CARRY,101,0,92533,6653,4628,3020,3165,1058,1058,2052,46
ARAM,False,15,31,13,DUO,90,0,178659,3165,3135,3020,6653,4645,3089,2052,149,12,37,12,SUPPORT,113,0,68855,6665,3111,3083,4401,3110,8020,0,19,16,34,14,SOLO,498,0,150330,6672,6675,3006,3072,6673,3033,0,77,7,40,11,SUPPORT,119,0,98493,3124,3036,3072,3094,3006,6673,0,65,26,33,9,SUPPORT,29,0,150316,3006,3031,6672,3085,3153,3072,0,85,10,28,16,DUO,10,0,224874,4633,6672,3115,3153,3089,3091,2052,162,8,17,24,DUO,23,0,61105,3084,1053,3006,3153,3046,6672,2052,19,13,10,20,DUO,555,0,44413,6691,6693,3158,6676,6694,6333,2052,21,18,29,8,SUPPORT,99,0,220054,6655,4645,3020,3089,4628,4637,2052,116,10,30,8,SUPPORT,22,16,166429,3158,4005,3042,6653,6696,6609,2052,78
ARAM,False,10,23,11,DUO,10,0,114966,3124,3006,3153,3115,3091,0,0,80,9,14,13,SUPPORT,555,0,20905,6696,6691,3158,6694,3134,1036,0,6,11,18,14,SUPPORT,141,0,86826,3042,3111,3074,3067,3133,3142,2052,50,12,21,15,SUPPORT,122,0,63626,3742,3071,6630,6333,0,0,0,37,3,23,10,SUPPORT,32,0,36263,6665,4401,3111,3065,1006,0,0,26,17,38,8,SUPPORT,103,0,58179,6655,4645,3020,3089,3135,0,2052,20,7,41,5,SUPPORT,154,0,42764,2051,3047,6667,3068,3075,1029,2052,23,21,28,7,DUO,90,0,104257,2421,4637,3020,3116,3089,6653,2052,106,13,20,12,SUPPORT,79,0,56390,3116,3089,4636,3100,0,0,2052,32,5,34,13,SUPPORT,526,0,24261,6665,3111,3083,3068,3076,1028,2052,14
ARAM,False,0,14,11,SUPPORT,12,0,9538,6665,3111,2031,1031,6660,0,2052,10,3,14,9,DUO,18,0,56605,6672,6675,3006,6673,1036,0,0,68,18,9,8,SUPPORT,45,0,51614,3020,3089,6655,4645,0,0,2052,24,7,17,7,SUPPORT,221,0,51909,3087,6675,3006,6673,3086,1042,2052,64,4,18,9,SUPPORT,106,0,29482,3075,3047,6632,3748,0,0,2052,31,4,26,5,SUPPORT,60,0,30139,6655,4645,3020,3135,0,0,2052,10,6,12,10,SUPPORT,80,0,24028,6691,3111,3071,3133,1031,1037,2052,11,3,33,3,SUPPORT,25,0,23572,6653,3157,3020,1026,1011,1052,0,7,12,17,10,SUPPORT,67,0,58570,3006,3124,3087,3091,1053,0,0,50,19,23,4,DUO,222,0,128962,6672,3031,3006,3094,3035,1018,2052,128
ARAM,True,10,18,21,DUO,104,0,165123,6692,3072,3071,3047,3156,3036,2052,135,6,37,13,SUPPORT,888,0,104436,2065,3040,3157,4005,3011,3111,0,75,12,23,19,SUPPORT,82,0,86755,4633,3083,4401,3065,3075,3116,2052,35,17,22,9,SUPPORT,154,0,103737,4636,3065,3020,3075,4637,3068,2052,40,16,23,10,SOLO,78,0,127190,3084,4401,3083,3075,3068,3065,2052,87,15,33,16,DUO,18,0,179042,6672,3094,3006,3046,6676,3036,2052,83,6,56,8,SOLO,16,0,62527,3065,3083,3190,3158,3121,3075,2052,15,14,39,9,SUPPORT,202,0,256516,3072,3031,3006,3085,3094,3036,2052,132,21,40,11,SUPPORT,161,0,208133,6653,3089,4637,3165,3135,4645,2052,89,16,32,17,SOLO,54,0,183192,6655,4645,3157,4629,3135,3089,2052,92
ARAM,False,8,12,11,SUPPORT,81,0,58218,6632,6694,3111,3153,1053,3077,2052,28,22,10,13,SOLO,11,0,117427,6691,3006,3091,3153,6676,3814,2052,68,5,21,13,SUPPORT,69,0,89513,6653,4637,3040,3116,1058,1058,2052,50,6,11,13,SOLO,254,0,88257,3057,3111,6691,6693,6333,3075,2052,77,2,20,9,DUO,267,0,50156,6653,3040,3020,3089,3145,1058,2052,40,16,23,9,SUPPORT,51,0,87332,3006,6691,6676,6696,6673,3035,2052,53,19,20,6,DUO,110,0,143721,3124,3006,3085,3153,6676,6672,0,124,4,20,12,SUPPORT,62,0,37971,3508,3111,6691,3067,6676,3066,0,27,8,22,8,SUPPORT,29,0,88418,6672,3085,3006,3031,3153,1018,0,87,12,28,8,SOLO,876,0,72679,3089,3020,6653,4637,3116,3113,0,32
ARAM,True,3,35,14,SUPPORT,10,0,46711,3006,3153,6672,3094,1033,1043,0,45,11,27,11,SUPPORT,112,0,74903,6653,4645,3020,3089,4630,0,0,37,20,14,10,SUPPORT,11,0,47253,6691,3153,3006,3091,6672,0,2052,27,5,22,11,SUPPORT,30,0,38979,3135,6653,3070,3020,4645,1052,0,27,12,25,4,DUO,222,0,113284,6672,3006,6691,6676,3035,1018,2052,106,7,13,10,SUPPORT,13,0,57110,6657,2031,3040,3020,3089,3082,2052,43,17,8,10,SUPPORT,141,0,52344,6691,6676,3158,6693,6694,3133,2052,37,7,19,11,SUPPORT,78,0,25855,6665,3111,4401,3068,3119,0,2052,24,10,16,9,DUO,777,0,80123,3006,3031,3087,3072,1031,3133,2052,67,9,24,11,SUPPORT,161,0,64925,6655,4645,3020,4628,3916,3145,2052,26
ARAM,False,10,15,7,SUPPORT,54,0,37085,3040,4636,4645,3020,4630,1026,2052,14,10,14,12,SUPPORT,777,0,63262,6672,3031,3006,6673,1031,0,2052,49,9,20,5,SUPPORT,221,0,65284,3087,6675,3006,3085,3035,0,2052,50,3,17,7,SUPPORT,145,0,38998,6655,3115,3070,3133,3020,1036,2052,42,5,20,5,SUPPORT,154,0,29759,3065,3047,6665,3075,0,0,2052,17,6,22,4,SUPPORT,78,0,25957,6665,3070,3047,3083,1028,1028,2052,18,3,16,7,SUPPORT,245,0,35413,3020,3152,3100,3108,3191,0,0,25,7,17,11,SUPPORT,2,0,56933,2031,6665,3074,6333,0,0,2052,42,13,15,9,SUPPORT,21,0,60893,6691,3006,6676,6696,3035,3133,2052,56,7,16,6,SUPPORT,10,0,38693,2031,3006,3124,3115,3051,1043,2052,47
ARAM,True,5,10,13,SUPPORT,2,0,31970,6665,1011,3111,3083,3077,1028,2052,23,10,23,5,SUPPORT,81,0,76343,3078,3158,3042,6694,3133,1053,2052,56,3,21,10,SUPPORT,236,0,64412,6672,3111,6675,1042,3072,1036,0,73,11,19,8,SUPPORT,63,0,69710,6655,4637,3020,3135,3145,0,2052,31,24,14,7,SUPPORT,131,0,73665,4636,4645,3020,3089,3145,3108,2052,47,5,21,7,SUPPORT,31,0,38916,3083,2031,6665,3075,3047,0,2052,28,11,16,14,SUPPORT,13,0,69626,3112,3020,3040,6655,4629,0,2052,29,13,21,7,DUO,202,0,114036,6691,6676,3158,6696,3036,3134,2052,95,5,17,14,SUPPORT,22,2,25751,6672,3078,3006,3085,0,0,0,26,9,16,11,SUPPORT,45,0,36022,6655,3089,3020,4645,4632,0,2052,23
ARAM,True,26,22,9,DUO,51,0,131901,7002,6676,3006,6696,3036,3072,2052,103,2,28,9,SUPPORT,516,0,17353,2051,7026,3070,3111,3068,1011,2052,11,10,33,8,SUPPORT,99,0,90298,3112,1058,7013,3020,4628,3135,0,57,8,24,16,SUPPORT,9,0,45524,3157,3020,6653,4637,3135,0,2052,36,9,30,6,SUPPORT,163,0,73392,7013,4645,3157,3020,1058,1058,0,44,11,14,12,DUO,75,0,63389,6632,3110,3047,3065,3193,1029,2052,59,9,17,16,DUO,104,0,87468,6692,6676,1001,3508,3036,1038,2052,64,14,19,12,SUPPORT,55,0,60272,3020,6632,3115,3153,3133,1031,2052,19,14,11,8,CARRY,18,0,107686,6672,6675,3006,3036,3072,1053,0,80,0,23,7,SUPPORT,32,0,29496,6665,3068,3111,4401,1011,2031,0,19
ARAM,False,5,32,9,SUPPORT,147,0,63492,6653,4645,3020,3165,4630,0,2052,50,6,33,7,SUPPORT,12,0,33506,3084,3068,3111,3083,3211,3067,0,25,16,28,8,SUPPORT,59,0,48742,6691,3156,6676,3111,6333,3134,0,28,3,26,11,SUPPORT,7,0,36284,6655,4645,3020,3135,1033,0,0,21,17,16,7,SUPPORT,233,0,62291,3053,6632,3111,6676,3074,0,0,42,3,15,10,SUPPORT,254,0,39937,6691,2031,3111,6676,3508,3133,0,25,7,22,7,SUPPORT,21,0,74214,6653,3165,3116,3020,4645,0,2052,59,7,18,12,SUPPORT,777,0,73924,3006,3036,3153,3087,1018,1038,2052,78,22,13,10,SUPPORT,876,0,59778,6653,4637,3165,3020,4629,4005,0,27,3,21,9,SUPPORT,36,0,52303,3084,3075,3111,3065,1029,0,0,34
ARAM,False,7,12,7,SUPPORT,13,0,30112,6657,1058,3040,3020,4629,0,2052,19,12,20,9,SUPPORT,161,0,61461,6655,4645,3020,3089,0,0,2052,34,7,19,14,DUO,15,0,88897,3087,3072,6675,3006,1018,1036,2052,78,11,16,10,SUPPORT,145,0,39229,6671,6676,2031,6672,1038,1053,2052,30,3,32,5,SUPPORT,25,0,58016,6653,3116,3020,1026,1052,1011,0,41,22,13,9,SUPPORT,21,0,72476,6691,6676,3158,6696,3094,1053,2052,48,1,32,7,SUPPORT,16,0,18894,2031,3083,6657,3211,0,3020,2052,10,10,17,5,SUPPORT,134,0,74536,6655,3089,3158,3102,3113,0,0,50,10,20,11,DUO,75,0,69769,6632,1028,3110,3065,3047,1057,0,61,2,19,8,SUPPORT,35,0,28030,6655,4645,3158,1058,1058,0,2052,27
ARAM,False,11,17,16,SUPPORT,22,6,70070,6672,3124,3006,3153,1033,3051,2052,49,11,28,8,SUPPORT,61,0,92451,6655,3089,2420,4645,3040,3020,2052,79,23,27,15,SUPPORT,64,0,79682,6691,3111,3065,6676,6696,3156,2052,32,7,16,11,SUPPORT,518,0,86603,3112,4645,6655,3020,3089,3102,0,74,8,24,12,SUPPORT,268,0,74881,6653,3115,3009,3102,4401,3145,2052,54,27,24,6,DUO,101,0,108227,3020,4628,6653,3089,4645,3135,2052,62,11,22,13,SUPPORT,876,0,54650,6653,3116,3020,4629,4637,1058,0,23,7,19,13,DUO,63,0,93564,1058,3116,1058,4637,6653,3020,0,70,2,26,16,DUO,16,0,19622,3158,6696,6617,3801,1011,3067,2052,22,15,24,12,SUPPORT,42,0,105301,3042,3087,3078,3074,3020,4645,2052,86
ARAM,False,5,21,13,SUPPORT,102,0,63997,4636,4645,3020,3089,0,0,2052,40,17,8,11,SUPPORT,121,0,37902,6691,3814,3158,6693,3134,1037,2052,33,5,28,10,SUPPORT,526,0,30384,3068,3111,6665,4401,3105,0,2052,15,6,15,13,SUPPORT,67,0,49124,3124,3006,6673,3091,1053,0,0,57,9,27,8,SUPPORT,21,0,64641,6653,4637,3020,3089,1052,0,0,51,9,28,11,SUPPORT,63,0,52698,6653,4637,3020,3116,3191,3108,2052,32,8,28,7,SUPPORT,78,0,27805,6662,3075,3047,4401,3801,1011,0,20,9,30,8,SUPPORT,45,0,75420,3157,4645,6655,4630,0,3020,0,64,7,18,10,SUPPORT,517,0,29155,4636,4629,3020,3108,3191,0,2052,16,22,28,6,DUO,235,0,76856,3094,3009,3036,6692,6672,1036,2052,64
ARAM,True,17,17,6,SUPPORT,142,0,37544,6655,4645,3020,4630,1026,0,2052,22,8,14,9,SUPPORT,254,0,15131,6691,3057,6676,3133,0,1001,2052,8,13,22,4,SUPPORT,101,0,35540,6655,3020,4630,4645,0,0,2052,26,2,17,4,SUPPORT,4,0,36141,3124,3020,2031,3094,0,0,0,36,6,21,3,SUPPORT,74,0,32323,6653,3116,3020,1011,1052,0,2052,46,4,6,9,SUPPORT,9,2,15757,3020,3157,6653,1052,0,0,3330,14,13,7,8,SUPPORT,121,0,31601,3042,3158,6691,3155,3077,0,0,23,1,6,8,SUPPORT,711,0,10319,6655,1052,3020,1058,0,0,2052,7,7,9,11,SUPPORT,115,0,27658,6653,4645,3020,0,0,0,2052,18,1,13,10,SUPPORT,51,0,21687,6672,3031,3006,0,0,0,2052,25
ARAM,True,7,22,5,SUPPORT,4,0,76206,3124,3100,3087,3020,3094,3145,2052,81,13,15,11,SUPPORT,80,0,51561,6691,6676,3156,3111,1037,3133,2052,37,11,23,8,SUPPORT,63,0,52871,6653,4637,3020,3089,1052,0,2052,22,9,16,6,SUPPORT,222,0,36791,6672,3036,3006,6671,1043,1042,2052,36,17,19,4,SUPPORT,99,0,68516,6655,4628,3020,4645,1058,1058,2052,57,8,6,12,SUPPORT,29,0,31093,3124,3115,3006,6672,1043,3086,2052,23,5,11,13,SUPPORT,161,0,52790,6655,4628,3020,4645,0,0,2052,35,2,11,10,SUPPORT,17,0,31297,6653,3115,3020,1058,1058,0,2052,17,9,10,11,DUO,81,0,91187,3177,6632,3042,3158,6694,3077,2052,89,9,16,11,SUPPORT,43,0,30263,6653,3107,3040,3158,3089,0,2052,17
ARAM,False,9,13,9,SOLO,64,0,28470,6630,6333,3111,3065,3133,3067,2052,12,9,8,8,SUPPORT,69,0,41484,3040,2031,6657,3089,3116,4630,2052,40,5,20,7,SUPPORT,126,0,53658,3042,6676,6691,3158,3156,0,2052,29,7,12,9,SUPPORT,22,1,84364,3078,6672,3085,3006,3051,1033,2052,87,3,18,7,DUO,30,0,85949,6653,4628,3020,4629,3108,0,0,83,8,13,10,SUPPORT,84,0,32192,4636,3100,3157,3916,3020,3145,2052,18,2,15,6,SUPPORT,119,0,39861,3031,3072,3006,6673,1036,1036,2052,46,8,23,5,CARRY,4,0,113257,6653,3040,3020,4637,4645,1058,2052,62,15,12,6,DUO,10,0,99130,4633,3006,3115,3085,3153,1058,2052,108,7,12,6,SUPPORT,145,0,31925,3006,3115,3124,3042,6672,0,2052,37
